Klinik_ID_2018,Klinik_ID_2019,Klinikname,Adresse,Klinikort,teilgenommen,Facharzt_Gyn,Facharzt_Anaesthesie,Facharzt_Kinder,Stillberatung,Hebammen,Hebammen_VK,VK_Angabe,Kinderklinik,Geburtenzahl_2019,Kaiserschnittrate_rohe_Rate,Bewertung_Risikoadjustierte_Kaiserschnittrate,Risikoadjustierte_Kaiserschnittrate_2019
260711636-1,260711636-1,Diakoniekrankenhaus Bad Kreuznach,Ringstr. 64,Bad Kreuznach,TRUE,Ja,Ja,Ja,Ja,14 % mehr als empfohlen,13.5,vorhanden,Eigene Kinderklinik,1269,"39,3 %",Im Toleranzbereich oder niedriger,1.15
260320336-0,260320336-0,Gesundheitseinrichtungen Hameln-Pyrmont GmbH - Sana Klinikum Hameln-Pyrmont,NA,Hameln,FALSE,Ja,Ja,Ja,Unbekannt¹,Unbekannt¹,NA,NA,Eigene Kinderklinik,1502,"30,6 %",Im Toleranzbereich oder niedriger,1.08
260914868-1,260914868-1,Klinik Eichstätt,NA,Eichstätt,FALSE,Unbekannt¹,Unbekannt¹,Unbekannt¹,Unbekannt¹,Unbekannt¹,NA,NA,Keine Kinderklinik angegeben,331,"42,3 %",Toleranzbereich überschritten,1.38
260810647-0,260810647-0,Frauenklinik Klinikum Ludwigsburg,Posilipostr. 4,Ludwigsburg,TRUE,Ja,Ja,Ja,Ja,10 % weniger als empfohlen,21,vorhanden,Eigene Kinderklinik,2499,"34,1 %",Im Toleranzbereich oder niedriger,1.09
260810625-1,260810625-1,Klinikum Bietigheim-Vaihingen,Riedstr. 12,Bietigheim,TRUE,Ja,Ja,Nein,Ja,2 % mehr als empfohlen,18,vorhanden,Keine Kinderklinik angegeben,1890,"25,6 %",Im Toleranzbereich oder niedriger,0.94
260310686-0,260310686-0,Helios Klinikum Salzgitter,Kattowitzer Str. 191,Salzgitter,TRUE,Nein,Ja,Ja,Ja,2 % mehr als empfohlen,7.31,vorhanden,Eigene Kinderklinik oder Kooperationsklinik,763,"30,5 %",Im Toleranzbereich oder niedriger,1.05
261400949-2,261400949-2,Städtisches Klinikum Dresden,NA,Dresden,FALSE,Ja,Ja,Ja,Unbekannt¹,Unbekannt¹,NA,NA,Eigene Kinderklinik,1431,"17,2 %",Im Toleranzbereich oder niedriger,0.48
260510644-0,260510644-0,Städtische Kliniken Mönchengladbach GmbH,Hubertustraße 100,Mönchengladbach,TRUE,Ja,Ja,Ja,Ja,5 % weniger als empfohlen,25,vorhanden,Eigene Kinderklinik,2823,"28,7 %",Im Toleranzbereich oder niedriger,0.88
260530502-0,260530502-0,Evangelisches Klinikum Köln Weyertal GmbH,NA,Köln,FALSE,Unbekannt¹,Unbekannt¹,Unbekannt¹,Unbekannt¹,Unbekannt¹,NA,NA,Keine Kinderklinik angegeben,1452,"22,3 %",Im Toleranzbereich oder niedriger,0.83
260820514-0,260820514-0,Klinik Sankt Elisabeth gGmbH,NA,Heidelberg,FALSE,Unbekannt¹,Unbekannt¹,Unbekannt¹,Unbekannt¹,Unbekannt¹,NA,NA,Keine Kinderklinik angegeben,1355,"31,5 %",Im Toleranzbereich oder niedriger,1.15
261101878-6,261101878-6,Vivantes Klinikum Neuköln Geburtsmedizin,Rudowerstrasse 48,Berlin,TRUE,Ja,Ja,Ja,Nein,19 % weniger als empfohlen,23.43,vorhanden,Eigene Kinderklinik,3109,"32,5 %",Im Toleranzbereich oder niedriger,1
260551837-1,260551837-1,Kath. Hospitalvereinigung Ostwestfalen,NA,Marl,FALSE,Unbekannt¹,Unbekannt¹,Unbekannt¹,Unbekannt¹,Unbekannt¹,NA,NA,Keine Kinderklinik angegeben,616,"45,1 %",Toleranzbereich überschritten,1.43
260570351-1,260570351-1,Klinikum Weser-Egge,NA,Brakel,FALSE,Unbekannt¹,Unbekannt¹,Unbekannt¹,Unbekannt¹,Unbekannt¹,NA,NA,Eigene Kinderklinik oder Kooperationsklinik,993,"27,9 %",Im Toleranzbereich oder niedriger,0.98
260914492-2,260914492-2,"Rotkreuzklinikum München, Betriebsstätte Frauenklinik",Taxisstr. 3,München,TRUE,Ja,Ja,Ja,Ja,23 % weniger als empfohlen,26,vorhanden,Eigene Kinderklinik,3637,"37,2 %",Im Toleranzbereich oder niedriger,1.17
261201312-3,261201312-3,Elbe Elster Klinikum GmbH,Alte Prettiner Straße 1,Herzberg,TRUE,Ja,Ja,Ja,Nein,keine verwertbare Angabe²,NA,nicht vorhanden,Eigene Kinderklinik oder Kooperationsklinik,509,"23,6 %",Im Toleranzbereich oder niedriger,0.85
260914050-0,260914050-0,Klinikum der Universität München,NA,München,FALSE,Ja,Ja,Ja,Unbekannt¹,Unbekannt¹,NA,NA,Eigene Kinderklinik,3985,"28,1 %",Im Toleranzbereich oder niedriger,0.84
260530283-0,260530283-0,Uniklinik Köln,Kerpener Straße 62,Köln,TRUE,Ja,Ja,Ja,Ja,4 % mehr als empfohlen,20.25,vorhanden,Eigene Kinderklinik,2084,"46,5 %",Im Toleranzbereich oder niedriger,1.23
261401416-1,261401416-1,Frauenklinik der Klinikum Chemnitz gGmbH,Flemmingstr. 2,Chemnitz,TRUE,Ja,Ja,Ja,Ja,39 % mehr als empfohlen,19,vorhanden,Eigene Kinderklinik,1462,"25,9 %",Im Toleranzbereich oder niedriger,0.66
260100023-1,260100023-1,"DIAKO Krankenhaus gGmbH, Klinik für Gynäkologie und Geburtshilfe",Knuthstrasse 1,Flensburg,TRUE,Ja,Ja,Ja,Nein,14 % weniger als empfohlen,15.5,vorhanden,Eigene Kinderklinik,1929,"30,1 %",Im Toleranzbereich oder niedriger,0.98
261500597-0,261500597-0,Klinikum Magdeburg,Birkenallee 34,Magdeburg,TRUE,Ja,Ja,Ja,Ja,keine verwertbare Angabe²,NA,nicht vorhanden,Eigene Kinderklinik,1306,"30,5 %",Im Toleranzbereich oder niedriger,0.95
260100626-1,260100626-1,Sana Kliniken Ostholstein GmbH,NA,Eutin,FALSE,Unbekannt¹,Unbekannt¹,Unbekannt¹,Unbekannt¹,Unbekannt¹,NA,NA,Eigene Kinderklinik oder Kooperationsklinik,901,"30,0 %",Im Toleranzbereich oder niedriger,0.96
260590071-2,260590071-2,Katholisches Klinikum Bochum,NA,Bochum,FALSE,Ja,Ja,Ja,Unbekannt¹,Unbekannt¹,NA,NA,Eigene Kinderklinik,1269,"41,8 %",Im Toleranzbereich oder niedriger,1.22
261400017-0,261400017-0,"Malteser Krankenhaus ""St. Johannes"" Kamenz",Nebelschützer Str. 40,Kamenz,TRUE,Ja,Ja,Nein,Ja,28 % mehr als empfohlen,7.25,vorhanden,Keine Kinderklinik angegeben,541,"16,1 %",Im Toleranzbereich oder niedriger,0.52
261101878-2,261101878-2,Vivantes Klinikum Humboldt,Am Nord Graben 2,Berlin,TRUE,Ja,Ja,Nein,Ja,21 % mehr als empfohlen,10.7,vorhanden,Keine Kinderklinik angegeben,945,"25,7 %",Im Toleranzbereich oder niedriger,0.9
260530999-0,260530999-0,Städtisches Krankenhaus Heinsberg,Auf dem Brand 1,Heinsberg,TRUE,Nein,Ja,Nein,Ja,keine verwertbare Angabe²,NA,nicht vorhanden,Keine Kinderklinik angegeben,730,"34,8 %",Im Toleranzbereich oder niedriger,1.2
261300276-0,261300276-0,KMG Klinikum Güstrow,Friedrich-Trendelenburg-Allee 1,Güstrow,TRUE,Nein,Ja,Ja,Nein,12 % mehr als empfohlen,7.15,vorhanden,Eigene Kinderklinik oder Kooperationsklinik,680,"28,4 %",Im Toleranzbereich oder niedriger,1.07
260551416-0,260551416-0,"St. Franziskus-Hospital GmbH, Münster",Hohenzollernring 70,Münster,TRUE,Ja,Ja,Ja,Ja,7 % weniger als empfohlen,21.74,vorhanden,Eigene Kinderklinik,2496,"27,2 %",Im Toleranzbereich oder niedriger,0.86
261000160-0,261000160-0,"KKH-MZG, Klinikum Merzig",NA,Merzig,FALSE,Unbekannt¹,Unbekannt¹,Unbekannt¹,Unbekannt¹,Unbekannt¹,NA,NA,Keine Kinderklinik angegeben,506,"34,6 %",Im Toleranzbereich oder niedriger,1.13
261420055-0,261420055-0,"Elblandkliniken Stiftung & Co. KG, Elblandklinikum Meißen",NA,Meißen,TRUE,Ja,Ja,Ja,Ja,30 % mehr als empfohlen,7.38,vorhanden,Eigene Kinderklinik oder Kooperationsklinik,603,"23,1 %",Im Toleranzbereich oder niedriger,0.64
260840426-1,260840426-1,Sana Kliniken Landkreis Biberach,NA,Biberach,FALSE,Unbekannt¹,Unbekannt¹,Unbekannt¹,Unbekannt¹,Unbekannt¹,NA,NA,Keine Kinderklinik angegeben,846,"23,2 %",Im Toleranzbereich oder niedriger,0.86
260550153-0,260550153-0,Herz-Jesu-Krankenhaus Hiltrup GmbH,NA,Münster,FALSE,Unbekannt¹,Unbekannt¹,Unbekannt¹,Unbekannt¹,Unbekannt¹,NA,NA,Keine Kinderklinik angegeben,752,"26,6 %",Im Toleranzbereich oder niedriger,0.96
260510461-1,260510461-1,Elisabeth-Krankenhaus Essen GmbH,Klara-Kopp-Weg 1,Essen,TRUE,Ja,Ja,Ja,Nein,2 % mehr als empfohlen,23.7,vorhanden,Eigene Kinderklinik,2500,"32,6 %",Im Toleranzbereich oder niedriger,1.04
260912194-0,260912194-0,RoMed Klinik Wasserburg am Inn,Krankenhausstr. 2,Wasserburg am Inn,TRUE,Nein,Ja,Nein,Nein,keine verwertbare Angabe²,NA,nicht vorhanden,Keine Kinderklinik angegeben,820,"23,8 %",Im Toleranzbereich oder niedriger,0.8
260960046-0,260960046-0,Leopoldina-Krankenhaus,NA,Schweinfurt,FALSE,Ja,Ja,Ja,Unbekannt¹,Unbekannt¹,NA,NA,Eigene Kinderklinik,1622,"32,2 %",Im Toleranzbereich oder niedriger,1.03
260321451-0,260321451-0,KRH Klinikum Robert Koch Gehrden,von-Reden-Str. 1,Gehrden,TRUE,Nein,Ja,Nein,Nein,2 % mehr als empfohlen,11.33,vorhanden,Keine Kinderklinik angegeben,1190,"18,6 %",Im Toleranzbereich oder niedriger,0.7
260550108-0,260550108-0,Sankt Marien-Hospital Buer GmbH,NA,Gelsenkirchen,FALSE,Unbekannt¹,Unbekannt¹,Unbekannt¹,Unbekannt¹,Unbekannt¹,NA,NA,Keine Kinderklinik angegeben,1033,"32,9 %",Im Toleranzbereich oder niedriger,1.07
